TITLE="supersonic vortex"
VARIABLES="X" "Y"
ZONE I=101 F=POINT
  1.00000000e+00        0.00000000
  9.99876632e-01        0.01570732
  9.99506560e-01        0.03141076
  9.98889875e-01        0.04710645
  9.98026728e-01        0.06279052
  9.96917334e-01        0.07845910
  9.95561965e-01        0.09410831
  9.93960955e-01        0.10973431
  9.92114701e-01        0.12533323
  9.90023658e-01        0.14090123
  9.87688341e-01        0.15643447
  9.85109326e-01        0.17192910
  9.82287251e-01        0.18738131
  9.79222811e-01        0.20278730
  9.75916762e-01        0.21814324
  9.72369920e-01        0.23344536
  9.68583161e-01        0.24868989
  9.64557418e-01        0.26387305
  9.60293686e-01        0.27899111
  9.55793015e-01        0.29404033
  9.51056516e-01        0.30901699
  9.46085359e-01        0.32391742
  9.40880769e-01        0.33873792
  9.35444031e-01        0.35347484
  9.29776486e-01        0.36812455
  9.23879533e-01        0.38268343
  9.17754626e-01        0.39714789
  9.11403277e-01        0.41151436
  9.04827052e-01        0.42577929
  8.98027576e-01        0.43993917
  8.91006524e-01        0.45399050
  8.83765630e-01        0.46792981
  8.76306680e-01        0.48175367
  8.68631514e-01        0.49545867
  8.60742027e-01        0.50904142
  8.52640164e-01        0.52249856
  8.44327926e-01        0.53582679
  8.35807361e-01        0.54902282
  8.27080574e-01        0.56208338
  8.18149717e-01        0.57500525
  8.09016994e-01        0.58778525
  7.99684658e-01        0.60042023
  7.90155012e-01        0.61290705
  7.80430407e-01        0.62524266
  7.70513243e-01        0.63742399
  7.60405966e-01        0.64944805
  7.50111070e-01        0.66131187
  7.39631095e-01        0.67301251
  7.28968627e-01        0.68454711
  7.18126298e-01        0.69591280
  7.07106781e-01        0.70710678
  6.95912797e-01        0.71812630
  6.84547106e-01        0.72896863
  6.73012514e-01        0.73963109
  6.61311865e-01        0.75011107
  6.49448048e-01        0.76040597
  6.37423990e-01        0.77051324
  6.25242656e-01        0.78043041
  6.12907054e-01        0.79015501
  6.00420225e-01        0.79968466
  5.87785252e-01        0.80901699
  5.75005252e-01        0.81814972
  5.62083378e-01        0.82708057
  5.49022818e-01        0.83580736
  5.35826795e-01        0.84432793
  5.22498565e-01        0.85264016
  5.09041416e-01        0.86074203
  4.95458668e-01        0.86863151
  4.81753674e-01        0.87630668
  4.67929814e-01        0.88376563
  4.53990500e-01        0.89100652
  4.39939170e-01        0.89802758
  4.25779292e-01        0.90482705
  4.11514359e-01        0.91140328
  3.97147891e-01        0.91775463
  3.82683432e-01        0.92387953
  3.68124553e-01        0.92977649
  3.53474844e-01        0.93544403
  3.38737920e-01        0.94088077
  3.23917418e-01        0.94608536
  3.09016994e-01        0.95105652
  2.94040325e-01        0.95579301
  2.78991106e-01        0.96029369
  2.63873050e-01        0.96455742
  2.48689887e-01        0.96858316
  2.33445364e-01        0.97236992
  2.18143241e-01        0.97591676
  2.02787295e-01        0.97922281
  1.87381315e-01        0.98228725
  1.71929100e-01        0.98510933
  1.56434465e-01        0.98768834
  1.40901232e-01        0.99002366
  1.25333234e-01        0.99211470
  1.09734311e-01        0.99396096
  9.41083133e-02        0.99556196
  7.84590957e-02        0.99691733
  6.27905195e-02        0.99802673
  4.71064507e-02        0.99888987
  3.14107591e-02        0.99950656
  1.57073173e-02        0.99987663
  6.12323400e-17        1.00000000
ZONE I=101 F=POINT
  1.38200000e+00        0.00000000
  1.38182951e+00        0.02170751
  1.38131807e+00        0.04340967
  1.38046581e+00        0.06510111
  1.37927294e+00        0.08677650
  1.37773976e+00        0.10843047
  1.37586664e+00        0.13005769
  1.37365404e+00        0.15165282
  1.37110252e+00        0.17321053
  1.36821269e+00        0.19472550
  1.36498529e+00        0.21619243
  1.36142109e+00        0.23760602
  1.35752098e+00        0.25896098
  1.35328592e+00        0.28025204
  1.34871696e+00        0.30147396
  1.34381523e+00        0.32262149
  1.33858193e+00        0.34368942
  1.33301835e+00        0.36467256
  1.32712587e+00        0.38556571
  1.32090595e+00        0.40636373
  1.31436011e+00        0.42706149
  1.30748997e+00        0.44765387
  1.30029722e+00        0.46813581
  1.29278365e+00        0.48850223
  1.28495110e+00        0.50874813
  1.27680151e+00        0.52886850
  1.26833689e+00        0.54885838
  1.25955933e+00        0.56871284
  1.25047099e+00        0.58842698
  1.24107411e+00        0.60799593
  1.23137102e+00        0.62741487
  1.22136410e+00        0.64667900
  1.21105583e+00        0.66578358
  1.20044875e+00        0.68472388
  1.18954548e+00        0.70349524
  1.17834871e+00        0.72209302
  1.16686119e+00        0.74051263
  1.15508577e+00        0.75874953
  1.14302535e+00        0.77679923
  1.13068291e+00        0.79465726
  1.11806149e+00        0.81231922
  1.10516420e+00        0.82978075
  1.09199423e+00        0.84703755
  1.07855482e+00        0.86408535
  1.06484930e+00        0.88091995
  1.05088104e+00        0.89753720
  1.03665350e+00        0.91393300
  1.02217017e+00        0.93010329
  1.00743464e+00        0.94604410
  9.92450544e-01        0.96175148
  9.77221572e-01        0.97722157
  9.61751485e-01        0.99245054
  9.46044100e-01        1.00743464
  9.30103294e-01        1.02217017
  9.13932998e-01        1.03665350
  8.97537203e-01        1.05088104
  8.80919954e-01        1.06484930
  8.64085351e-01        1.07855482
  8.47037548e-01        1.09199423
  8.29780751e-01        1.10516420
  8.12319219e-01        1.11806149
  7.94657258e-01        1.13068291
  7.76799228e-01        1.14302535
  7.58749534e-01        1.15508577
  7.40512631e-01        1.16686119
  7.22093016e-01        1.17834871
  7.03495237e-01        1.18954548
  6.84723880e-01        1.20044875
  6.65783578e-01        1.21105583
  6.46679003e-01        1.22136410
